ps -ef
UID        PID  PPID  C STIME TTY          TIME CMD
huy       2385  1726  0 01:38 ?        00:00:00 /usr/lib/x86_64-linux-gnu/deja-d
huy       2403  2202  0 01:39 pts/1    00:00:00 bash
root      2629     2  0 01:41 ?        00:00:00 [kworker/0:1]
root      2633     1  0 01:41 ?        00:00:00 /usr/sbin/cups-browsed
root      2751     2  0 01:47 ?        00:00:00 [kworker/2:0]
root      2783     2  0 01:52 ?        00:00:01 [kworker/u8:1]
root      2812     2  0 01:58 ?        00:00:00 [kworker/3:0]
root      2816     2  0 01:59 ?        00:00:00 [kworker/u8:2]
root      2856     2  0 02:05 ?        00:00:00 [kworker/1:0]
root      2906     2  0 02:16 ?        00:00:00 [kworker/2:1]
huy       2926  1329  5 02:18 ?        00:00:32 /opt/google/chrome/chrome
huy       2933  2926  0 02:18 ?        00:00:00 cat
huy       2934  2926  0 02:18 ?        00:00:00 cat
root      2935     2  0 02:18 ?        00:00:00 [kworker/1:1]
huy       2938  2926  0 02:18 ?        00:00:00 /opt/google/chrome/chrome --type
huy       2939  2938  0 02:18 ?        00:00:00 /opt/google/chrome/nacl_helper
huy       2942  2938  0 02:18 ?        00:00:00 /opt/google/chrome/chrome --type
huy       2951  1329  0 02:18 ?        00:00:00 /usr/lib/x86_64-linux-gnu/gconf/
huy       3001  2926  2 02:18 ?        00:00:13 /opt/google/chrome/chrome --type
huy       3003  3001  0 02:18 ?        00:00:00 /opt/google/chrome/chrome --type
huy       3051  2942  0 02:18 ?        00:00:00 /opt/google/chrome/chrome --type
root      3148     2  0 02:19 ?        00:00:00 [kworker/u8:0]
root      3231     2  0 02:19 ?        00:00:00 [kworker/3:2]
root      3244     2  0 02:19 ?        00:00:00 [kworker/0:0]
huy       3259  2942  0 02:19 ?        00:00:02 /opt/google/chrome/chrome --type
huy       3281  2942  1 02:19 ?        00:00:08 /opt/google/chrome/chrome --type
huy       3308  2942  0 02:19 ?        00:00:01 /opt/google/chrome/chrome --type
huy       3320  2942  0 02:19 ?        00:00:01 /opt/google/chrome/chrome --type
huy       3360  2942  2 02:20 ?        00:00:10 /opt/google/chrome/chrome --type
huy       3424  2942  1 02:21 ?        00:00:05 /opt/google/chrome/chrome --type
root      3442     1  0 02:21 ?        00:00:00 /sbin/mount.ntfs /dev/sda4 /medi
root      3448     1  0 02:21 ?        00:00:00 /sbin/mount.ntfs /dev/sda8 /medi
root      3454     1  0 02:21 ?        00:00:00 /sbin/mount.ntfs /dev/sda7 /medi
root      4013     2  0 02:24 ?        00:00:00 [kworker/0:3]
root      4026     2  0 02:24 ?        00:00:00 [kworker/0:4]
root      4038     2  0 02:24 ?        00:00:00 [kworker/0:5]
root      4042     2  0 02:25 ?        00:00:00 [kworker/3:1]
huy       4070  2942  5 02:26 ?        00:00:05 /opt/google/chrome/chrome --type
huy       4255  2942  0 02:26 ?        00:00:00 /opt/google/chrome/chrome --type
root      4275     2  0 02:26 ?        00:00:00 [kworker/2:2]
root      4295     2  0 02:27 ?        00:00:00 [kworker/1:2]
root      4297     2  0 02:27 ?        00:00:00 [kworker/u8:3]
huy       4303  2942  5 02:27 ?        00:00:00 /opt/google/chrome/chrome --type
huy       4318  2942 26 02:27 ?        00:00:00 /opt/google/chrome/chrome --type
root      4333  2375  0 02:27 pts/6    00:00:00 ps -ef

-(gnome-calculator &)
 start gnome-calculator process in background
-ps aux | grep -i gnome-calculator | awk {'print $2'}
4734
- cat /proc/4734/status |grep State
State:	S (sleeping)
-  kill -STOP 4734
   cat /proc/4734/status |grep State
State:	T (stopped)
- kill -CONT 4734
  cat /proc/4734/status |grep State
State:	S (sleeping)
- kill -KILL 4734
  cat /proc/4734/status |grep State
cat: /proc/4734/status: No such file or directory

 Name: Bui Vu Huy
 ID: USTHBI7 - 082
 
 -- You know, Saitama could defeat goku with one punch --
